is_spam,comment
1,"Ảnh taihen cổ trang update liên tục ae nào thích thì zo coi nha
https://lin$k1s.com/8VIqKflo (bỏ $) nhé"
1,"http://ola*link.io/ielttests( bỏ * nha)
XIN LỖI MỌI NGƯỜI TRƯỚC NHA
Bạn nào muốn test ielts free có thể vô link nha xác nhận 5s là được nha
( không lừa đảo đâu)"
1,Test lồn mẹ m đc ko
1,"http://ola*link.io/ielttests( bỏ * nha)
XIN LỖI MỌI NGƯỜI TRƯỚC NHA
Bạn nào muốn test ielts free có thể vô link nha xác nhận 5s là được nha
( không lừa đảo đâu)"
1,Test lồn mẹ m đc ko
0,Link raw Eng cho bạn nào muốn xem trước https://b*it.ly/37lkJHx ( nhớ bỏ dấu * nha ).
0,Cho hỏi cái sau này DK có mấy đứa con
0,"6 đứa Dương A,B,C,D,E,F nhé"
0,"Đây chap 1450,1451 nha ae
http://b*blink.com/vo-luyen-dinh-phong-1450(bỏ dấu*)"
0,đọc raw English mới nhất tại : https://bit.Rly/2YaJzc3 ( nhớ bỏ R đi )
1,NHẬN MẢNH HỌC TẬP VỚI MÃ LIENQUAN59-66YQZ6JFKA5 VÀ NGÀY 5/9 VÀO GAME NHẬN QUÀ VỚI MÌNH NHÉ!
0,Madara  :v
0,Ai biết truyện main có 4 người hầu chí tôn k
0,Otome dori
0,"Trên hư vương là đạo nguyên cảnh, đế tôn cảnh (phổ thông - ngụy đế - đại đế), nửa bước khai thiên (ngưng tụ âm dương ngũ hành),khai thiên cảnh (chân quân - thiên quân - thần quân), nửa bước tạo vật, tạo vật cảnh"
1,"Cái đấy thì thằng đéo nào chả biết , đụ con đĩ mẹ m lên đây thể hiện cho thằng mặt cặc nào xem vậy hả con chó rách ăn cứt thích bú cu cụ già 80 tuổi này, bố m lại phải vác cây hàng 20cm ra xả vô cái lỗ lồn già con đĩ mẹ m tối nay quá"
0,Ai biết truyện main có 4 người hầu chí tôn k
1,"LinĶ HAI BÉ 2K9 LÀM xXx LÀM CỘNG ĐỒNG FB XÔN XAO

LinĶ : https://sum.vn/W9TGG

VÌ SHARE LINĶ NÀY LÀM CHO BAO NHIÊU ANH EM MẤT FACEBOOK

ĐỪNG SHARE LINK NÀY LÊN FB NHA MẤT ĐẤY XEM Ở TRÊN WEB THÔI...',;',';.';...."
1,"LinĶ HAI BÉ 2K9 LÀM xXx LÀM CỘNG ĐỒNG FB XÔN XAO

LinĶ : https://sum.vn/W9TGG

VÌ SHARE LINĶ NÀY LÀM CHO BAO NHIÊU ANH EM MẤT FACEBOOK

ĐỪNG SHARE LINK NÀY LÊN FB NHA MẤT ĐẤY XEM Ở TRÊN WEB THÔI...';,;',;'...."
0,Ko biết thực lực của tiểu tiểu ngang với phản hư 3 hay hư vương 1 nhỉ ?
0,Giờ mới thấy thằng main trẻ vãi
0,đố m biết con tuyết nguyện bn tuổi . và những con vợ sau này bn . cu Khai có sở thích lái máy bay bà già 
0,"Tìm truyện: main cùng 3hay 4 người nữa dc triệu hồi sáng thế giới fantasy làm anh hùng diệt ma vương nhưng thừa ra main, main có năng lực mua nguyên liệu và dụng cụ nấu ae ở trái đất sang đây, vì nấu ăn ngon nên dc một con sói thần nhận làm chủ"
0,TONDEMO SKILL DE ISEKAI HOUROU MESHI nha bn
1,https://mega.nz/folder/mls32AZR#bwXg34I-7dfDigMqQ18hbw/folder/KkMmXRiB
1,"Tiết lộ cho ae chap sau: Sau khi đi vào vết nứt không gian thì gặp [YS Gank Team - Hasagi Sorye Ge Ton] không hiểu sao lại chạy ra chỗ lão già rồi mút buồi chùn chụt, mấy ae trước bị nó phỉ báng phi vào ngăn cản mà không ai cản được! cứt mút chùn chụt thôi rồi nói tôi sai rồi tôi sai rồi ?!"
1,https://mega.nz/file/z1oXHAIL#NtZzW1cm-js1xnmX7HtvckvVN3Uqdy-NbV9hoEg4r3A
0,Chuẩn bị gặp lại con vk tuyết nguyệt rôig nha ae hóng nào
0,Còn tô nhan thì chuẩn bị đá lưỡi thằng kia r
1,https://l.messenger.com/l.php?u=https%3A%2F%2Fmega.nz%2Ffolder%2Fmls32AZR%23bwXg34I-7dfDigMqQ18hbw%2Ffile%2FKsck0BpB&h=AT12pqmHZwOdFM9f6CsIjaqOPXiwV9qj9ZxhhQ1IYylScK0l0SaiP-2_YfBq3TSfqCUBd1d1iD_vc4bI4XKKkYIO12Kxqcavv3n4pwyMgp3oBHOVvb8bG6AoG5Ih5eqvFkE13_fwgzA1adKL8Tm3
0,máy bay này chất lượng quá
0,Dương Viêm sau này có làm vợ main k mn
0,"Về sau rước về ử chung nhà chứ ko làm vợ, bạn thân tri kỷ ấy"
0,Ko nhé chỉ làm bn thoi vì dương viêm còn nhớ người xưa
0,Nghe bảo hình như về sau chỉ là bạn bè thôi thì phải
0,Thằnh chó DK đi đem cho phong vân vân hải trận ngu học
1,"Não mày chứa cứt hả 🤭🤭 cái trận rách đó ở u ám tinh còn ngăn được bọn phản hư yếu yếu kột lúc. Chứ ra ngoài tinh vực nó vô dụng nhé não cứt. 
Giờ thằng DK nó vẩy tay cái chết cả lũ phản hư rồi thì còn cần cái trận rẻ rách đó làm gì hả não cứt ???"
0,Đọc truyện mà đéo biết dùng não để suy nghĩ còn chửi main 🤣🤣 buồn cười vãi lồn.
0,"nó sao chép ra hơn chục cái trận r, vs tên là phần quang vân hải trận chứ đéo phải phong vân con ạ"
0,cái ý chỉ dọa đc bọn phản hư cùi rách thôi . giờ main solo vs hư vương r
0,"Mấy ông đọc truyện này giữ vững tâm cảnh vào, quanh anh Hàn Lập nhà ta gặp rất nhiều giai nhân nhưng sau cùng đa số toàn là Hồng nhan bạc mệnh"
0,Ai đọc truyện chữ cho hỏi sau mấy vị đại đế có biết bí mật huyễn giới châu của DK ko 😳😳
0,Về sau chế tạo mấy trăm cái huyền giới châu cho mấy ổng nữa cơ
0,Có nhé
0,Về sau biết hết. Từ đại chiến ma tộc với tinh giới
0,"Đây chap 1450,1451 nha ae
http://b*blink.com/vo-luyen-dinh-phong-1450(bỏ dấu*)"
0,sau này Dương Viêm có phải vợ main k
1,Đéo phải nhé con chó ăn cứt
0,Main 9 vợ mà chắc có trong dàn haren hết:>>>
0,Rất tiếc phải thông báo là không
0,Sau Cu Khai lên Khai Thiên người hầu nó toàn Đại Đế các thứ mấy gia tộc kia khiếp 
1,Địt mấy em đại đế toàn 3 4k tuổi cx ngon đấy 
0,"Ôi, dương viêm lùn cute tóc ngắn nhìn ngon hơn lúc dung hợp vs đại đế, tiết quá:))"
0,ảnh đầu nét vẽ thảm hoạ
1,Sủa chuẩn đấy con chó duy anh ăn cứt
1,À mà mọi ngừoi ơi cho mình xin hỏi cái mấy cái kết của mấy mấy bộ tu tiên bình thường thì nó sẽ như thế nào. Mình đọc nhiều bộ rồi mà chưa có bộ nào end hết nên khồn biết cái kết nó ra sao
1,Hỏi cái địt lồn mẹ m hả
0,"Hỏi mấy đứa đọc truyện chữ ấy, mà truyện chữ hỏi full chứ đừng hỏi chuyện chưa full"
1,Giết boss địt gái hỏi ngu thế con chó ăn cứt
0,Link raw Eng cho bạn nào muốn xem trước https://b*it.ly/37lkJHx ( nhớ bỏ dấu * nha ).
1,"Có nhiều cách tránh đánh nhau mà ko cần phải dùng miệng.

Cách 1: nếu có ai đó lại gần bạn, bạn chỉ việc vạch Cu ra cho nó sợ nó sẽ tránh xa bạn (lưu ý cách này chỉ dùng tơi Nam)

Cách 2: cái này Nam/Nữ đều có thể sử dụng được hết, nếu ai đó kiếm chuyện bạn với bạn hãy bình tĩnh xem xét tình hình xung quanh hãy tìm kiếm đâu đó vài cục cức chó nó sẽ cứu lấy bạn cầm dài cục cức chó đó nhét vào cổ họng của mình rồi khà ra cho nó sợ bỏ đi (trường hợp không có cức chó tìm cái gì đó dơ hơn là được hoạt mình tự tạo ra nếu không ổn bạn nên hủ sẵn dài cục cức chó bên người)
Cách 3 đây là cách an toàn nhất các cách vừa nói trên cách trên khi bạn qua cách 3 hãy xem lại cách 1 cách 2.

Đây là những đều cơ bản cứu sống bạn và chúc các bạn hành công xin thân ái Chào và Goodbye."
1,Táp bố máy cho lắm vào r tự vả
1,"LinĶ HAI BÉ 2K9 LÀM xXx LÀM CỘNG ĐỒNG FB XÔN XAO

LinĶ : https://sum.vn/W9TGG

VÌ SHARE LINĶ NÀY LÀM CHO BAO NHIÊU ANH EM MẤT FACEBOOK

ĐỪNG SHARE LINK NÀY LÊN FB NHA MẤT ĐẤY XEM Ở TRÊN WEB THÔI."
1,"LinĶ HAI BÉ 2K9 LÀM xXx LÀM CỘNG ĐỒNG FB XÔN XAO

LinĶ : https://sum.vn/W9TGG

VÌ SHARE LINĶ NÀY LÀM CHO BAO NHIÊU ANH EM MẤT FACEBOOK

ĐỪNG SHARE LINK NÀY LÊN FB NHA MẤT ĐẤY XEM Ở TRÊN WEB THÔI.."
0,kể ra ngày ra 5 chương thì ngon :))
0,Ngày 3 là kịch bên eng cx thế
0,"Truyện hiếm lắm ngày 2 chap rồi,bố muốn 5 chap thì bỏ tiền ra"
1,"Tìm truyện nu9 xuyên không tóc đỏ - có tài năng nói chuyện với động vật. Mộthôm cô quyết định lên thủ đô và gặp đc na9 , lúc đó na9 đi cùng vs 1 con báo đen. Ổng thấy nu9 không bị báo của mình ghét liền đề nghị nu9 chăm sóc báo dùm mình.
   - Truyện này mình ké của một bạn >"
1,Otome dori nha con chó ăn cứt
0,cần tìm truyện mà nv9 có pet như truyện này
0,"Mình đọc đến đoạn main lên 3000 thế giới thì đang hơi khúc mắc về hình dáng tổng quát của 3k tg. Theo như mình tưởng tượng thì đó là từng mảnh đại lục nằm trôi nổi trong vũ trụ, nhưng mà nghĩ lại thì thấy nó hơi có chú vấn để, ai giảng giải cho mình với "
0,3k TG chỉ là tên gọi thôi nhé bạn đại loại là các Thế giới được các giới vực liên kết với nhau nói đại loại như này cho dễ hiểu nè tinh vực hằng la giống với thiên hà ngoài thế giới thực mà tất cả thiên hà gom lại giống 1 cái vụ nổ bigbang gọi là tinh giới mà các cái gọi là tinh giới và ma vực liên kết lại gọi là giới vực xong các giới vực liên kết lại với nhau thì gọi tắt là 3k TG .. theo võ đạo thì nhất sinh nhị nhị sinh tam tam sinh vạn vật ok .... chứ thật ra TG vẫn đang sinh ra nên nói 3k TG chỉ rất nhỉ bé . Sau bạn đọc còn có mạc chi chiến trường sau cái lớn hơn nữa là càn khôn lô
0,dương khai bai nhiêu tuổi rồi nhỉ
0,trên 40 dưới 60
0,Tầm 33 tuổi
0,Khoảng 30+ nhé thằng thiểu năng
0,20 tuổi bắt đầu từ máp 2 ko nhầm dưới 30 thôi mà nói chung cũng ko chính xác nắm main trôi nổi trong hư ko TG ko được nhắc đến nên có khả năng cả trăm năm rồi
0,Hình như lần đầu thế nv game k đi hài 🙄
0,Mấy chap nx Xơi tuyết nguyệt ?
1,Xơi đụ mẹ mày 
0,Tầm 2k nhé nó càng lâu main ăn càng được lợi nên để rành ăn sau
1," ==>==> yout*ube.com/watch?v=-LqSH5vRSEU
Music này cứ phải gọi là đẳng cấp :) cứ phải ối dồi ôi luôn nhá :D Tôi thử rồi UwU phiêu phết á :> và đọc truyện cx hợp nx nè :3 "
0,Xin cảnh giới trên Hư Vương? Tạo vật cảnh là gì?
0,"hư vương - đạo nguyên - đế tôn(những ai được thiên địa ý chí công nhận thì đc gọi đại đế, kiểu ngưng tụ được đạo ấn, đó là nội càn khôn còn bên ngoài càn khôn thì ko bị ràng buộc về mặt ngưng tụ đạo ấn) - khai thiên từ nhất phẩm đến cửu phẩm - tạo vật (thực chất mới chỉ có Mặc dạng này hiện tại là Tạo vật cảnh thôi còn nhân tộc hay thánh linh yêu tộc chưa có dạng này cảnh giới ( à có ánh sáng ban đầu đạt tới ), hiện tại thì có DK sắp tới cũng có khả năng lên cảnh giới phía trên Khai thiên cửu phẩm, vì DK cùng Mục đã chạm đến cảnh giới đó đi chung một con đường là Thời Không Trường Hà đại đạo ( thời không trường hà là 3000 đại đạo hợp thành)- lí do mà chưa có ai đạt tới cảnh giới tạo vật thì do bị ràng buộc bởi khai nguyên chi pháp, nói chung là thiên địa ý chí ràng buộc ko cho đi ra mới cao cấp cường giả vì sợ sẽ đe dọa đến nó. còn muốn hiểu hơn thì phải đọc truyện, chứ võ luyện điên phong thì tạo vật cũng chỉ như vừa mới bắt đầu, kiểu mở ra một map mới thôi 😌"
0,Tạo vật như tên gọi thôi sinh ra vật sống mà truyện theo như viết thì có khả năng tầm 10 ngày đến 1 tháng là hết rồi mà nếu muốn tiếp tục mạch truyện khả năng phải giống với bộ thần Đạo Đan tôn mới tiếp tục hoặc theo các bộ tu tiên đô thị thôi
0,chuyện này lắm thanh niên chửi tục nhất
1,Sủa chuẩn rồi đấy con chó ăn cứt
0,Cho hỏi sau nay main bn vợ vậy :))
0,9 con vợ
0,"Từ chap này cho đến chap DK lên Khai Nguyên Cảnh tầng 9 chắc phải 3000 chap nữa, hiện tại t đã đọc truyện chữ đc tới đây, gần trăm chap nữa đột phá Hư Vương Cảnh bị sét đánh sml đen như cục thang "
0,"Ôi bạn ơi, ở thế giới này thì tấn thăng không phải chịu lôi kiếp mà là chịu thiên địa tẩy rửa 🤦🏼( nạp 1 lượng lớn linh khí vào người)còn đợi đến đoạn lên cửu phẩm thì chắc khoảng 4500 chap nữa cơ"
0,cho mik xin cảnh giới trên hư vương ik bn
0,3k chap ? Tao sợ còn chưa ra nổi Tinh giới đâu .. nên tinh giới cày cấp tầm 1k chap nhé xong lại về cứu hằng la tinh vực 100 chap đại chiến ma vực trên 2k chap nữa nói chung tầm chuyện chữ 5k chương thì truyện tranh cũng phải 4k5 nhé
0,Sắp hốt e tuyết nguyệt 🙂
1,"Ảnh taihen cổ trang update liên tục ae nào thích thì zo
https://link*1s.com/8VIqKflo (bỏ *) nhé"
1," ==>==> yout*ube.com/watch?v=-LqSH5vRSEU
Music này cứ phải gọi là đẳng cấp :) cứ phải ối dồi ôi luôn nhá :D Tôi thử rồi UwU phiêu phết á :> và đọc truyện cx hợp nx nè :3 "
1,"==>==> yout*ube.com/watch?v=-LqSH5vRSEU
Music này cứ phải gọi là đẳng cấp :) cứ phải ối dồi ôi luôn nhá :D Tôi thử rồi UwU phiêu phết á :> và đọc truyện cx hợp nx nè :3"
1,.
1,Xin lỗi đã làm phiền nhưng mình có lập một nhóm zalo dành những bạn thích LGBT và nếu bạn nào rảnh thì tham gia dùm mình. Link:https://zalo.me/g/rztpsf029
0,"Bn giới thiệu sai chỗ òi , ở trên nettruyen có vài đứa ăn không ngồi rỗi đi chửi LGBT đó"
0,Hảo gay
0,Sắp đc thịt Túyt Ngịt nữa ròi
0,Chuẩn bị gặp lại tuyết Nguyệt và thu ẻm vào dàn harem rồi 
0,Ae cần spoil hoặc giải thích cmt mình nói cho nha. Tránh gặp mấy thánh đọc lướt rồi spoil bậy bạ. Mình đọc cũng đc vào chap nhưng hiểu và đọc kĩ
0,Ae không hiểu hoặc muốn spoil đoạn nào mình sẽ nói cho sẽ biết. Mình mới đọc đc 1 ít
0,Sơ mấy cái bình luận đã có rất nhiều thằng ngu :)))) ai bảo con lam di là tinh chủ :)))) tinh chủ là người luyện hoá căn nguyên tinh tú. Con còn này thay mặt Kiếm Minh quản lý hành tinh này nên gọi là tinh chủ ( vì tinh này của Kiếm minh và nó quản lý nên nó cao nhất người ta mới tạm gọi tinh chủ
0,"Những chap như này nên đọc lướt , còn những chap có cảnh nóng t toàn đọc siêu chậm có khi dừng lại ngắm hoài"
0,Bởi lâu lâu có mấy thằng ngáo ngáo hỏi bậy bạ hoặc mấy thánh đọc truyện chữ xong spoil bậy bạ.
0,Đồng môn
1,"ảnh taihen ĐPTK anime
https://link*1s.com/xP3sfOl  (bỏ *) nha"
0,mặt main nhìn ko ưa = lúc dầu truyện ...
0,nhin To Nhan và Ha Ngưng Thường cũng zay
1,"Đây chap 1450,1451 nha ae
http://b*blink.com/vo-luyen-dinh-phong-1450(bỏ dấu*)"
1,Nếu các bạn đọc truyện mà chờ đợi quá lâu chap mới hoặc site truyện có nhiều quá nhiều quảng cáo có thể truy cập vào trang để xem mới nhất http://thotinhlangman.com
0,"Ae bt truyện gì mà main khôn,k simp, k ?
Chứ đọc truyện main ngu với simp mệt quá"
0,"người ở rể bị ép làm phản diện
vạn giới thần chủ
ta là tà đế"
1,"Chim khôn hót tiếng rảnh rang
trai k simp ăn cứt."
1,Nếu các bạn đọc truyện mà chờ đợi quá lâu chap mới hoặc site truyện có nhiều quá nhiều quảng cáo có thể truy cập vào trang để xem mới nhất http://thotinhlangman.com
1,Cho hỏi anh em nào biết bộ truyện đô thị săn quoái thú có main thợ săn có hệ thống hấp thụ mọi thứ á. Khúc sau đi khám phá cổng xuyên qua mấy thế giới khác main thôn phệ từng viên đá trong thế giới đó luôn. Nhớ thế giới nào con người lạc hậu mà ở lại chỉ dạy luôn ý. Ai biết giúp mình với!!!
0,"Đây chap 1450,1451 nha ae
http://b*blink.com/vo-luyen-dinh-phong-1450(bỏ dấu*)"
0,"ae nào có biết, cho xin bộ truyện tu tiên nào tấu hài, vô sỉ đi :))"
0,"Đại vương tha mạng
Cao năng lai tập
Dị tộc trùng sinh
Tối cường phản sáo lộ hệ thống
Tu tiên giả đại chiến siêu năng lực
Hài đế vi tôn
Nhiều quá liệt kê mệt tự tìm tiếp đi"
0,"Cuộc đời thằng cha m đấy, hài lắm"
0,"Sư tỷ của ta đông một đám. Siêu lầy ,bựa ."
0,Dương viêm tuvi gì vậy
0,đế tôn tam tầng (lúc đỉnh cao thực lực) ngụy đế
0,Hình như đế tôn thì phải
0,Ngụy đế
0,Nguỵ đế chứ đế tôn tam tầng cc j
0,Đế tôn tam tầng cc j. Còn lúc đỉnh cao thực lực:)))
0,Đế tôn cc gì ở đâu nói ra v ????
0,Ủa nhớ Dương Viêm là Đại đế cảnh mà 
0,Móc đâu ra thêm thằng bảo dương viêm đại đế vậy ??? Nó là ngụy.
0,Thk khai bảo k có võ đạo đỉnh phong vậy có khi nào sau này main lên tạo vật cảnh cái lại chuyển map k ta
1,Sủa chuẩn đấy con chó rách
0,có nếu tác giả muốn nhé
0,"truyện lol này ngày càng hút máu tiền nhiệm lang man vc
hết tiểu thế giới đến đại thế giới 
ông tác giả chết mẹ nó rồi vẫn chưa đạt tới cảnh giới cao nhất vũ trụ to nhất"
0,Sau lại có NTR nữa chứ
0,Vào trong k có DK chết đâu 80 kiếp rồi :))
0,Sủa chuẩn đấy con chó ăn cứt
0,Nhỏ này ns nhiều thế nhờ hết mẹ chap luôn phải t t đè ra hiếp r giết
0,Cũng như t đối xử với con đĩ mẹ m vậy
0,địa ma nay sao rồi bỏ truyện ae lâu quá
0,nó bị giam chỗ ma tộc mà ở đâu thì chịu á nghe spoil sơ sơ nên tui biết thôi về sau gần cuối truyện nó phản main nữa mà :))
0,H còn địa vs chả ma.  Main phụ  mà
0,Nó bị thằng gay nào đó đâm đít mỗi ngày rồi
0,Jostar jo dương khai ??? :D
0,Sủa chuẩn đấy con chó rách
0,xắp đc Tuyết Nguyệt tỏ tình rồi .-.
0,Nhưng nó lại bị đứa khác địt rồi
0,Truyện này hay k ae
1,Hay như cách tao chơi mẹ m vậy
0,Hay và xác định còn dài nha.  Tàm này ms là đầu câu truyện thôi
0,Có ntr nên k hay
0,Về sau cực hay nha
0,"Máp mới lại hư vương cảnh quê tăm,nhỏ bé, cỏn con......."
0,Map kế thì p là  Đạo Nguyên Cảnh mới đc coi là khá nhé Hư Vương qua đó chỉ là muỗi map mới Khai Thiên là cao nhất Đế Tôn chỉ là tầm Tinh Chủ
1,"Hư vương nhỏ bé, nhỏ thua cái lồn con đĩ mẹ m nữa"
0,Dương viêm mới có mấy vạn tuổi mà ae đã chê dư tĩnh thu 10 tỷ tuổi mà thằng tuyết ưng còn lái nói chi em dương viêm này
1,Tuyết ưng là thk đầu buồi nào
0,Mà k phải chê con dv tuổi nhiều mà là mấy vạn năm trc con dv có chồng r chịch chưa thì k bt n thk chồng bị j cg chết luôn r
1,Sủa khá đấy con chó ăn cứt
0,Truyện hay ko mn
0,Có NTR thì hay ko
0,Con này dạy đời dương khai luôn. Ghê quá ghê quá
0,nó tiền bối dạy thằng khai ngu là đúng
0,Sắp qua map mới à ae
0,"đợi DV dẫn nha đầu tên gì gì đi Tinh Giới rồi main dùng 10 năm để Quỷ Tổ tấn thăng Hư Vương tam tầng cảnh rồi DK, Xích Nguyệt, Cổ Kiếm Minh, Vô Đạo, Quỷ Tổ, Ngả Âu,... khởi động Tinh Đế lệnh đi qua tinh quang thông đạo rồi đi Tinh Giới"
1,um` qua day gap quy to
0,thật sự là võ đạo không có đỉnh à?
0,có đỉnh đấy sau hư vương cảnh còn 4 cảnh giới nữa thôi
0,không biết tác giả sẽ có tiếp tục khi main tấn thăng lên Tạo vật cảnh hay không
0,nếu trong truyện này sẽ có cảnh giới tiếp theo nếu nói mấy truyện khác mà main biết nhận thức thì võ đạo là vô hạn chỉ khi nào đột phá mới được gọi là mạnh
0,"Tôi nghĩ là không, truyện chỉ tới tạo vật cảnh nhưng vì trước giờ số người lên tạo vật đã ít hơn cả ít r chứ nói chi tới việc vượt qua tạo vật mà lên cảnh cao hơn được"
0,"Sau hư vương là đạo nguyên,đế tôn,khai thiên và tạo vật cảnh(trừ bỏ đi ngụy đế và đại đế vì cũng là đế tôn cảnh mà thôi)...Truyện chữ chưa hết nên chưa rõ đỉnh là cảnh giới nào!"
0,Đọc mấy bộ vô địch lưu là biết
0,"Khai ăn Tô Nhan và Ngưng Thường nhiều quá nhàm rồi à, rõ ràng con tinh chủ Thanh Mộc đi chân đất đến gặp mà lại làm lơ , chán. "
0,Đợi nó thịt em tóc trắng thui :))
0,nó lên vị diện cao hơn toàn gặp cường giả hư vương làm nô lệ thì kiểu 
0,Cháp bị rút ruột à chap này nhiều chi tiết lệch truyện chữ quá tối qua mới đọc truyện chữ xong
0,"Truyện chữ phải dùng câu từ miêu tả thì đọc giả mới hiểu,truyện tranh chỉ cần ảnh,câu thoại là được rồi! Cảm giác thiếu và không chi tiết như truyện chữ là đương nhiên!"
0,Qua map mới hư vương cảnh như rác ngoài đg
0,mấy chap sau vào bí cảnh xảy ra chấn động con này bị ngã thằng dương khai đỡ ai nhè nó té chông ngược mông lên trên dính ngay con cặc dương khai đang dựng đứng con này nứng quá đè ra địt nhau .....
1,địt chết mẹ mày đúng không ?
1,"Chap 1450 tại đây 
http://b*blink.com/Luyen-vo-dinh-phong ( xoá * đi)"
1,"Ảnh taihen cổ trang update liên tục ae nào thích thì coi
https://lin@k1s.com/8VIqKflo bỏ @ nhé"
0,Có vào đc đéo đâu?
1,đm mày lừa t
1,vào đc nhé mấy bạn ko lauwf đảo j ở đây cả
0,"Chap 1449 truyện tranh = Chap 1749 Truyện chữ.
Link cho bác nào cần tìm: ⓣⓡⓤⓨⓔⓝⓜⓞⓘ.ⓥⓝ/vu-luyen-dien-phong/chuong-1749"
0,Sao Dương Khai ko giết phệ thiên đại đế?? DK mạnh hơn mà
